,Unnamed: 0,gvkey,gvkeyx,from_date,thru_date,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic
31,11242,6104,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,INTL PAPER CO,IP
32,11243,6375,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,KELLOGG CO,K
33,11244,6435,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,KIMBERLY-CLARK CORP,KMB
34,11245,6502,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,KROGER CO,KR
35,11246,7163,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,S&P GLOBAL INC,SPGI
36,11247,7241,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CVS HEALTH CORP,CVS
37,11248,7257,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,MERCK & CO,MRK
38,11249,7366,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ENTERGY CORP,ETR
39,11250,7435,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,3M CO,MMM
40,11251,7585,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,MOTOROLA SOLUTIONS INC,MSI
41,11252,7923,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,NORFOLK SOUTHERN CORP,NSC
42,11253,7977,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,XCEL ENERGY INC,XEL
43,11254,8099,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,FIRSTENERGY CORP,FE
44,11255,8151,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ONEOK INC,OKE
45,11256,8247,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PPG INDUSTRIES INC,PPG
46,11257,8272,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SEMPRA ENERGY,SRE
47,11258,8446,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PENNEY (J C) CO,JCP
48,11259,8479,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PEPSICO INC,PEP
49,11260,8530,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PFIZER INC,PFE
50,11261,8539,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,EXELON CORP,EXC
51,11262,8543,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ALTRIA GROUP INC,MO
52,11263,8549,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CONOCOPHILLIPS,COP
53,11264,8606,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PITNEY BOWES INC,PBI
54,11265,8762,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PROCTER & GAMBLE CO,PG
55,11266,8810,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PUBLIC SERVICE ENTRP GRP INC,PEG
56,11267,8972,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,RAYTHEON CO,RTN
57,11268,9203,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ROCKWELL AUTOMATION,ROK
58,11269,9465,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SCHLUMBERGER LTD,SLB
59,11270,9667,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SHERWIN-WILLIAMS CO,SHW
60,11271,9846,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,EDISON INTERNATIONAL,EIX
61,11272,9850,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SOUTHERN CO,SO
62,11273,10499,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,TEXAS INSTRUMENTS INC,TXN
63,11274,10581,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,TIMKEN CO,TKR
64,11275,10867,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,UNION PACIFIC CORP,UNP
65,11276,10983,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,UNITED TECHNOLOGIES CORP,UTX
66,11277,11456,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,WEYERHAEUSER CO,WY
67,11278,11465,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,WHIRLPOOL CORP,WHR
68,11279,11636,31855,1967/01/01,2019-08-23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,XEROX HOLDINGS CORP,XRX
69,11280,7077,31855,1967/01/01,1995/03/15,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,MARTIN MARIETTA CORP,ML.3
70,11281,3091,31855,1967/01/01,1995/05/21,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CLARK EQUIPMENT CO,CKL
71,11282,9408,31855,1967/01/01,1995/09/21,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SANTA FE PACIFIC CORP,SFX.2
72,11283,11678,31855,1967/01/01,1995/11/07,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ZENITH ELECTRONICS CORP,ZE
73,11284,2529,31855,1967/01/01,1995/11/26,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CBS INC,CBS.1
74,11285,9514,31855,1967/01/01,1995/12/12,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SCOTT PAPER CO,SPP.3
75,11286,2729,31855,1967/01/01,1996/02/11,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CAPITAL CITIES/ABC INC,CCB.2
76,11287,4603,31855,1967/01/01,1996/03/12,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,FEDERAL PAPER BOARD CO,FBO
77,11288,7099,31855,1967/01/01,1996/09/05,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,VARITY CORP,VAT
78,11289,8325,31855,1967/01/01,1997/06/18,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PANENERGY CORP,PEL.1
79,11290,5321,31855,1967/01/01,1997/07/01,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GREAT WESTERN FINANCIAL,GWF.
80,11291,7155,31855,1967/01/01,1997/08/03,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,MCDONNELL DOUGLAS CORP,MD.1
81,11292,4393,31855,1967/01/01,1997/08/05,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,TXU GAS CO,TXU2
82,11293,2159,31855,1967/01/01,1998/06/30,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,BENEFICIAL CORP,BNL.1
83,11294,4073,31855,1967/01/01,1998/09/30,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,DRESSER INDUSTRIES INC,DI.
84,11295,3022,31855,1967/01/01,1998/11/12,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CHRYSLER CORP,C.3
85,11296,1755,31855,1967/01/01,1998/11/23,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ARMCO INC,AS.
86,11297,1609,31855,1967/01/01,1999/01/03,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,AMOCO CORP,AN.2
87,11298,11584,31855,1967/01/01,1999/01/03,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,FOOT LOCKER INC,FL
88,11299,6701,31855,1967/01/01,1999/04/11,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,AEROQUIP-VICKERS INC,ANV.1
89,11300,10855,31855,1967/01/01,1999/05/02,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,UNION CAMP CORP,UCC.2
90,11301,9810,31855,1967/01/01,1999/10/25,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SONAT INC,SNT.1
91,11302,1789,31855,1967/01/01,1999/10/26,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ASARCO INC,AR.2
92,11303,7475,31855,1967/01/01,1999/11/30,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,MOBIL CORP,MOB.2
93,11304,5693,31855,1967/01/01,1999/12/01,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,HONEYWELL INC,HON.Z
94,11305,3419,31855,1967/01/01,2000/01/30,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CONSOLIDATED NATURAL GAS CO,D2
95,11306,1848,31855,1967/01/01,2000/04/17,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ATLANTIC RICHFIELD CO,ARC.3
96,11307,9114,31855,1967/01/01,2000/05/04,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,REYNOLDS METALS CO,RLM.1
97,11308,11436,31855,1967/01/01,2000/05/04,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CBS CORP -OLD,CBS.2
98,11309,7938,31855,1967/01/01,2000/06/04,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,NACCO INDUSTRIES  -CL A,NC
99,11310,10580,31855,1967/01/01,2000/06/12,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,TIMES MIRROR CO  -SER A,TMC
100,11311,2847,31855,1967/01/01,2000/06/15,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CENTRAL & SOUTH WEST CORP,CSR.1
101,11312,11288,31855,1967/01/01,2000/06/20,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,WARNER-LAMBERT CO,WLA
102,11313,4961,31855,1967/01/01,2000/07/02,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GTE CORP,GTE.1
103,11314,8214,31855,1967/01/01,2000/10/01,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,OWENS CORNING,OC
104,11315,2562,31855,1967/01/01,2000/10/02,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,BESTFOODS,BFO.2
105,11316,3206,31855,1967/01/01,2000/11/01,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,COLUMBIA ENERGY GROUP,NI2
106,11317,4189,31855,1967/01/01,2000/11/01,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,EASTERN ENTERPRISES,EFU.1
107,11318,1762,31855,1967/01/01,2000/11/16,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ARMSTRONG HOLDINGS INC,3ACKH
108,11319,2189,31855,1967/01/01,2000/12/10,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,BETHLEHEM STEEL CORP,3BHMSQ
109,11320,3619,31855,1967/01/01,2000/12/10,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CROWN HOLDINGS INC,CCK
110,11321,5250,31855,1967/01/01,2000/12/10,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GRACE (W R) & CO,GRA
111,11322,9548,31855,1967/01/01,2000/12/10,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SEAGRAM CO LTD,VO.3
112,11323,10576,31855,1967/01/01,2001/01/15,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,TIME WARNER INC-OLD,TWX.1
113,11324,10857,31855,1967/01/01,2001/02/06,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,UNION CARBIDE CORP,DOW2
114,11325,8657,31855,1967/01/01,2001/07/18,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PRIMARY PDC INC,PRDCQ
115,11326,8852,31855,1967/01/01,2001/08/02,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,QUAKER OATS CO,OAT.
116,11327,10482,31855,1967/01/01,2001/10/09,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,TEXACO INC,TX.2
117,11328,6127,31855,1967/01/01,2001/11/29,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ENRON CORP,ENRNQ
118,11329,5686,31855,1967/01/01,2001/12/16,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,HOMESTAKE MINING,HM
119,11330,4864,31855,1967/01/01,2002/01/16,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,FOSTER WHEELER AG,FWLT
120,11331,6307,31855,1967/01/01,2002/01/16,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SEARS HOLDINGS CORP,SHLDQ
121,11332,7180,31855,1967/01/01,2002/01/29,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,MEAD CORP,MEA.1
122,11333,7892,31855,1967/01/01,2002/01/31,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,NIAGARA MOHAWK HOLDINGS INC,NMK
123,11334,1243,31855,1967/01/01,2002/07/21,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ALCAN INC,AL.1
124,11335,5905,31855,1967/01/01,2002/07/21,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,INCO LTD,INCLF
125,11336,9267,31855,1967/01/01,2002/07/21,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ROYAL DUTCH PETROLEUM NV,RDPL
126,11337,10846,31855,1967/01/01,2002/07/21,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,UNILEVER NV,UN
127,11338,10301,31855,1967/01/01,2002/12/11,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,TRW INC,TRW.1
128,11339,1045,31855,1967/01/01,2003/03/13,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,AMERICAN AIRLINES GROUP INC,AAL
129,11340,5735,31855,1967/01/01,2003/03/30,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,HSBC FINANCE CORP,HBC1
130,11341,7536,31855,1967/01/01,2003/04/15,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PHARMACIA CORP,PHA.1
131,11342,11535,31855,1967/01/01,2004/12/02,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,WINN-DIXIE STORES INC,WINN
132,11343,9563,31855,1967/01/01,2005/03/27,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SEARS ROEBUCK & CO,S.1
133,11344,11038,31855,1967/01/01,2005/08/10,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,UNOCAL CORP,UCL
134,11345,7127,31855,1967/01/01,2005/08/28,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,MAY DEPARTMENT STORES CO,MAY.2
135,11346,5169,31855,1967/01/01,2005/10/02,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GILLETTE CO,G.1
136,11347,3041,31855,1967/01/01,2005/10/20,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,MILACRON INC,MZIAQ
137,11348,1581,31855,1967/01/01,2005/11/20,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,AT&T CORP,T.2
138,11349,5134,31855,1967/01/01,2005/12/19,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GEORGIA-PACIFIC CORP,GP.1
139,11350,3734,31855,1967/01/01,2006/03/02,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,DANA INC,DAN
140,11351,7139,31855,1967/01/01,2006/04/02,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,MAYTAG CORP,MYG.1
141,11352,6081,31855,1967/01/01,2006/12/19,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,NAVISTAR INTERNATIONAL CORP,NAV
142,11353,8470,31855,1967/01/01,2007/02/21,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PEOPLES ENERGY CORP,PGL.1
143,11354,8536,31855,1967/01/01,2007/03/19,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PHELPS DODGE CORP,PD.1
144,11355,10507,31855,1967/01/01,2007/10/09,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ENERGY FUTURE HOLDINGS CORP,0033A
145,11356,5968,31855,1967/01/01,2007/10/18,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,RYERSON HOLDING CORP,RYI
146,11357,11609,31855,1967/01/01,2008/10/06,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,WRIGLEY (WM) JR CO,WWY
147,11358,2504,31855,1967/01/01,2008/11/10,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,UNISYS CORP,UIS
148,11359,5589,31855,1967/01/01,2008/11/13,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,HERCULES INC,HPC
149,11360,5073,31855,1967/01/01,2009/06/02,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GENERAL MOTORS CO,GM
150,11361,5959,31855,1967/01/01,2009/06/30,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,INGERSOLL-RAND PLC,IR
151,11362,3497,31855,1967/01/01,2009/09/08,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,COOPER INDUSTRIES PLC,CBE
152,11363,1478,31855,1967/01/01,2009/10/15,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,WYETH,WYE
153,11364,9459,31855,1967/01/01,2009/11/03,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,SCHERING-PLOUGH,SGP
154,11365,5824,31855,1967/01/01,2010/02/28,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PEPSIAMERICAS INC,PAS
155,11366,5301,31855,1967/01/01,2010/12/14,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GREAT ATLANTIC & PAC TEA CO,GAPTQ
156,11367,4194,31855,1967/01/01,2011/10/31,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,EASTMAN KODAK CO,KODK
157,11368,1995,31855,1967/01/01,2012/03/13,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,CONSTELLATION ENERGY GRP INC,CEG
158,11369,5229,31855,1967/01/01,2012/07/30,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,GOODRICH CORP,GR
159,11370,5568,31855,1967/01/01,2013/06/06,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,KRAFT HEINZ CO,KHC
160,11371,1408,31855,1967/01/01,2014/04/30,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,BEAM INC,BEAM
161,11372,11446,31855,1967/01/01,2015/07/01,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,MEADWESTVACO CORP,MWV
162,11373,1356,31855,1967/01/01,2016/10/31,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,ALCOA INC,AA.3
163,11374,1976,31855,1967/01/01,2017/07/04,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,BAKER HUGHES INC,BHI
164,11375,4087,31855,1967/01/01,2017/08/31,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,DU PONT (E I) DE NEMOURS,DD.2
165,11376,8264,31855,1967/01/01,2019/01/17,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,PG&E CORP,PCG
166,11377,4060,31855,1967/01/01,2019/06/02,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,DUPONT DE NEMOURS INC,DD
167,11378,10391,31855,1967/02/21,2007/11/15,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,TEKTRONIX INC,TEK.1
168,11379,1608,31855,1967/04/12,1999/04/04,S&P 1500 Super Composite,BROAD,I0020,2019-08-23,2019-08-23,S&P,AMP INC,AMP.2
